claim,expected
Nagaland became the 16th state of India in 1963,ENTAILMENT
Nagaland University is a Central University,ENTAILMENT
Hornbill Festival is celebrated every year in Nagaland,ENTAILMENT
The capital of Nagaland is Kohima,ENTAILMENT
Nagaland shares an international border with Myanmar,ENTAILMENT
Kohima is the capital city of Nagaland,ENTAILMENT
Nagaland became a state in 1950,CONTRADICTION
The capital of Nagaland is Dimapur,CONTRADICTION
Nagaland University is located only in Delhi,CONTRADICTION
Nagaland shares an international border with Bangladesh,CONTRADICTION
Hornbill Festival is celebrated in Mumbai every year,CONTRADICTION
Nagaland became the 25th state of India,CONTRADICTION
Nagaland University completed a Startup Sprint on 22 April 2025,NEUTRAL
Nagaland University launched an AI Research Center in January 2025,NEUTRAL
The Government of Nagaland will build an international airport in Mon district by 2028,NEUTRAL
Nagaland University signed a partnership with NASA in 2025,NEUTRAL
The Hornbill Festival attracted exactly 1 million visitors in 2025,NEUTRAL
Nagaland will host the Asian Games in 2030,NEUTRAL
